Red,Nombre de la IPRESS,Código RENIPRESS,Provincia,Distrito
Red La Convencion,SEGAKIATO,00037658,LA CONVENCION,MEGANTONI
Red Cusco Norte,MIRAFLORES,00002293,CUSCO,CUSCO
Red Cusco Sur,SAN JERONIMO,00002300,CUSCO,SAN JERONIMO
Red Cusco Sur,MENTAL SAN SEBASTIAN,00026181,CUSCO,SAN SEBASTIAN
Red Cusco Norte,CCORAO,00002302,CUSCO,SAN SEBASTIAN
Hospital,ANTONIO LORENA DEL CUSCO,00002305,CUSCO,SANTIAGO
Red Cusco Norte,OCCOPATA,00002313,CUSCO,SANTIAGO
Red Cusco Sur,ACOMAYO,00002317,ACOMAYO,ACOMAYO
Red Cusco Sur,ACOPIA,00002318,ACOMAYO,ACOPIA
Red Cusco Norte,CACHIMAYO,00002331,ANTA,CACHIMAYO
Red Cusco Norte,HUAROCONDO,00002333,ANTA,HUAROCONDO
Red Cusco Norte,PAMPACONGA,00002337,ANTA,LIMATAMBO
Red Cusco Norte,SAN SALVADOR,00002352,CALCA,SAN SALVADOR
Red CCE,CHITIBAMBA,00002367,CANAS,CHECCA
Red CCE,CONDEVILUYO,00002370,CANAS,LANGUI
Red Chumbivilcas,YAVINA,00007111,CHUMBIVILCAS,SANTO TOMAS
Red La Convencion,KITENI,00002427,LA CONVENCION,ECHARATE
Red La Convencion,PUGUIENTIMARI,00013069,LA CONVENCION,ECHARATE
Red La Convencion,SAN PABLO HUAYOPATA,00002457,LA CONVENCION,HUAYOPATA
Red La Convencion,MARANURA,00002458,LA CONVENCION,MARANURA
Red La Convencion,OCCOBAMBA LACONVENCION,00002462,LA CONVENCION,OCOBAMBA
Red La Convencion,CHIRUMBIA,00008908,LA CONVENCION,QUELLOUNO
Red La Convencion,SELVA ALEGRE,00002493,LA CONVENCION,VILCABAMBA
Red La Convencion,LUCMAHUAYCO,00002491,LA CONVENCION,INKAWASI
Red La Convencion,INCAHUASI,00002482,LA CONVENCION,INKAWASI
Red Cusco Sur,SAHUA SAHUA,00012924,PARURO,OMACHA
Red Cusco Sur,PAUCARTAMBO,00002510,PAUCARTAMBO,PAUCARTAMBO
Red Cusco Norte,PAROBAMBA,00002515,PAUCARTAMBO,CHALLABAMBA
Red Cusco Sur,URPAY,00002533,QUISPICANCHI,HUARO
Red La Convencion,TANGOSHIARI,00013067,LA CONVENCION,MEGANTONI
Red La Convencion,PUERTO RICO,00002442,LA CONVENCION,MEGANTONI
Red La Convencion,NUEVA LUZ,00002436,LA CONVENCION,MEGANTONI
Red Cusco Norte,SIETE CUARTONES,00002291,CUSCO,CUSCO
Red Cusco Sur,CONCHACALLE,00007699,CUSCO,SAN JERONIMO
Red Cusco Sur,TUPAC AMARU,00025210,CUSCO,SAN SEBASTIAN
Red Cusco Norte,TTIO,00002316,CUSCO,WANCHAQ
Red Cusco Norte,MENTAL COMUNITARIO ANTA,00027790,ANTA,ANTA
Red Cusco Norte,PARCCOTICA,00035838,ANTA,CHINCHAYPUJIO
Red Cusco Norte,LARES,00002347,CALCA,LARES
Red CCE,LAYO,00002371,CANAS,LAYO
Red CCE,TOCCOCCORI,00002377,CANAS,TUPAC AMARU
Red CCE,LA FLORIDA,00002383,CANCHIS,SICUANI
Red CCE,PHINAYA,00002393,CANCHIS,PITUMARCA
Red Chumbivilcas,AÑAHUICHI,00002403,CHUMBIVILCAS,CHAMACA
Red Chumbivilcas,CCONCHACCOLLO,00016330,CHUMBIVILCAS,CHAMACA
Red Chumbivilcas,HUAYLLANI,00008914,CHUMBIVILCAS,COLQUEMARCA
Red Chumbivilcas,PUMALLACTA,00025369,CHUMBIVILCAS,QUIÑOTA
Red Chumbivilcas,CCOLLANA,00006984,CHUMBIVILCAS,QUIÑOTA
Red CCE,HUAYHUAHUASI,00002414,ESPINAR,COPORAQUE
Red La Convencion,KAMANQUIRIATO,00002447,LA CONVENCION,ECHARATE
Red La Convencion,AMAYBAMBA,00002456,LA CONVENCION,HUAYOPATA
Red La Convencion,ALFAMAYO,00002454,LA CONVENCION,HUAYOPATA
Red La Convencion,PUCYURA,00002480,LA CONVENCION,VILCABAMBA
Red Cusco Sur,CCOCHIRIHUAY,00006978,PARURO,COLCHA
Red Cusco Sur,PUESTO DE SALUD DE HUASQUILLAY,00007147,PARURO,OMACHA
Red Cusco Sur,PACCARECTAMBO,00002507,PARURO,PACCARITAMBO
Red Cusco Sur,HUASAC,00002513,PAUCARTAMBO,CAICAY
Red Cusco Sur,HUARA HUARA,00008911,QUISPICANCHI,CCATCA
Red Cusco Sur,INCACANCHA,00007110,QUISPICANCHI,MARCAPATA
Red Cusco Norte,URUBAMBA,00002540,URUBAMBA,URUBAMBA
Red Cusco Norte,OLLANTAYTAMBO,00002549,URUBAMBA,OLLANTAYTAMBO
Red La Convencion,TIMPIA,00002445,LA CONVENCION,MEGANTONI
Red Cusco Norte,CCORCCA,00002297,CUSCO,CCORCA
Red Cusco Norte,POROY,00002299,CUSCO,POROY
Red Cusco Sur,ACOS,00002319,ACOMAYO,ACOS
Red Cusco Norte,HUAMANPATA,00021061,ANTA,MOLLEPATA
Red Cusco Norte,MENTAL COMUNITARIO VIRGEN ASUNTA DE CALCA,00026273,CALCA,CALCA
Red CCE,CHIARA,00034448,CANCHIS,COMBAPATA
Red Chumbivilcas,ARCANGEL SAN MIGUEL DE ESQUINA CONGUNYA,00030940,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,PATAQUEÑA - LIVITACA,00016332,CHUMBIVILCAS,LIVITACA
Red Chumbivilcas,LUTTO,00006747,CHUMBIVILCAS,LLUSCO
Red Chumbivilcas,AYACCASI,00027011,CHUMBIVILCAS,VELILLE
Red Chumbivilcas,TUNTUMA,00025371,CHUMBIVILCAS,VELILLE
Red La Convencion,MENTAL QUILLABAMBA,00026386,LA CONVENCION,SANTA ANA
Red La Convencion,IDMA,00002423,LA CONVENCION,SANTA ANA
Red La Convencion,HUYRO,00002453,LA CONVENCION,HUAYOPATA
Red La Convencion,QUELLOUNO,00002465,LA CONVENCION,QUELLOUNO
Red La Convencion,SULLUCUYOC,00002477,LA CONVENCION,SANTA TERESA
Red La Convencion,PACCAYBAMBA,00002485,LA CONVENCION,INKAWASI
Red Cusco Sur,ANTAPALLPA,00002506,PARURO,OMACHA
Red Cusco Sur,MENTAL COMUNITARIO VIRGEN DEL ROSARIO,00033777,PAUCARTAMBO,PAUCARTAMBO
Red Cusco Sur,QUINCE MIL,00002526,QUISPICANCHI,CAMANTI
Red Cusco Norte,BUENA VISTA,00002295,CUSCO,CUSCO
Red Cusco Norte,BELEMPAMPA,00002306,CUSCO,SANTIAGO
Red Cusco Sur,POMACANCHI,00002321,ACOMAYO,POMACANCHI
Red Cusco Sur,SANTA LUCIA,00012926,ACOMAYO,POMACANCHI
Red Cusco Norte,HUARQUI,00036012,CALCA,LAMAY
Red Cusco Norte,SUYO,00002361,CALCA,LARES
Red Cusco Norte,PUTUCUSI,00002359,CALCA,YANATILE
Red Cusco Norte,LA QUEBRADA,00002355,CALCA,YANATILE
Red CCE,HAMPATURA,00018241,CANAS,YANAOCA
Red Chumbivilcas,CHARAMURAY,00002405,CHUMBIVILCAS,COLQUEMARCA
Red Chumbivilcas,AUSANTA,00016327,CHUMBIVILCAS,LIVITACA
Red CCE,"MENTAL COMUNITARIO ESPINAR ""MUSUQ KAWSAY""",00030366,ESPINAR,ESPINAR
Red CCE,ACCOCUNCA,00002420,ESPINAR,ALTO PICHIGUA
Red La Convencion,OYARA,00002484,LA CONVENCION,VILCABAMBA
Red La Convencion,CHANCAVINE,00013070,LA CONVENCION,VILLA VIRGEN
